imre,dtype,time,mlp_tk,attn_tk,mlp_rk,mlp_mbm,attn_full_step_every,attn_full_step_schedule,attn_local_voxels,attn_local_1d_window,attn_recompute_mask,mlp_full_step_every,mlp_block_mask_cache,step_caching
77.26026396453382,bf16,4.654,0.3,0.1,0.05,16,10,,0,0,True,20,2,False
77.23261929163714,bf16,4.927,0.3,0.3,0.05,16,20,,0,0,False,10,2,False
49.6640939975041,bf16,2.401,0.3,0.165,0.05,16,20,,0,0,False,20,3,True
70.15428661473562,bf16,2.547,0.3,0.3,0.05,16,20,,0,0,False,20,1,True
76.30137397121861,bf16,4.704,0.3,0.1,0.05,128,10,,0,0,False,20,1,False
67.74525342186097,bf16,2.605,0.3,0.3,0.05,128,20,,0,0,True,10,2,True
70.59800259314942,bf16,2.548,0.3,0.165,0.05,128,10,,0,0,False,10,1,True
64.71348800626583,bf16,4.577,0.3,0.1,0.05,16,20,,0,0,False,20,2,False
55.24708990484937,bf16,2.418,0.3,0.165,0.05,16,20,,0,0,False,20,2,True
65.90730923216329,bf16,2.641,0.3,0.3,0.05,128,10,,0,0,False,10,2,True
69.58182567088804,bf16,2.669,0.3,0.3,0.05,128,10,,0,0,True,10,2,True
78.79861689574317,bf16,4.66,0.3,0.165,0.05,16,20,,0,0,True,20,2,False
79.52843515994027,bf16,4.929,0.3,0.3,0.05,128,20,,0,0,True,10,2,False
56.572915761673336,bf16,2.497,0.3,0.3,0.05,16,20,,0,0,False,20,3,True
71.11500054525092,bf16,2.646,0.3,0.3,0.05,128,10,,0,0,False,10,1,True
68.57118446961974,bf16,2.587,0.3,0.3,0.05,128,10,,0,0,True,20,1,True
64.4310192100093,bf16,2.512,0.3,0.165,0.05,128,10,,0,0,False,10,3,True
75.29847869685922,bf16,4.616,0.3,0.165,0.05,128,20,,0,0,False,20,2,False
65.88421454955831,bf16,4.641,0.3,0.1,0.05,128,20,,0,0,False,20,1,False
68.3210744826356,bf16,4.56,0.3,0.1,0.05,16,20,,0,0,True,20,3,False
72.003159054555,bf16,4.808,0.3,0.3,0.05,16,20,,0,0,False,20,3,False
56.5550658477878,bf16,2.481,0.3,0.1,0.05,128,10,,0,0,False,10,3,True
